mal_id	rank	title	url	start_date	members	score	source	duration	rating	favorites	rating_count	studio	popularity	global_rank	genres
32	23	Neon Genesis Evangelion: The End of Evangelion	https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion	07-1997	411945	8.51	Original	1 hr 27 min	R+ - Mild Nudity	12281	266552	Gainax	208	97	Sci-Fi,Dementia,Psychological,Drama,Mecha
33674	24	No Game No Life: Zero	https://myanimelist.net/anime/33674/No_Game_No_Life__Zero	07-2017	429361	8.51	Light novel	1 hr 46 min	PG-13 - Teens 13 or older	5765	202074	Madhouse	195	98	Game,Supernatural,Drama,Romance,Fantasy
5205	25	Kara no Kyoukai 7: Satsujin Kousatsu (Go)	https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go	08-2009	144021	8.47	Light novel	2 hr 1 min	R - 17+ (violence & profanity)	1648	78464	ufotable	792	112	Action,Mystery,Supernatural,Romance,Thriller
10408	26	Hotarubi no Mori e	https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e	09-2011	424524	8.46	Manga	45 min	G - All Ages	7217	234284	Brain's Base	196	117	Drama,Romance,Shoujo,Supernatural
35851	27	Sayonara no Asa ni Yakusoku no Hana wo Kazarou	https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou	02-2018	146970	8.46	Original	1 hr 55 min	PG-13 - Teens 13 or older	2581	57167	P.A. Works	771	119	Drama,Fantasy
21899	28	Gintama: Yorinuki Gintama-san on Theater 2D	https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D	08-2012	25300	8.45	Manga	1 hr 36 min per ep	PG-13 - Teens 13 or older	46	9408	Sunrise	2878	122	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen
572	29	Kaze no Tani no Nausicaä	https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä	03-1984	229684	8.44	Manga	1 hr 57 min	PG-13 - Teens 13 or older	3252	142689	Studio Hibari	469	135	Adventure,Fantasy
11981	30	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari	10-2013	241527	8.44	Original	1 hr 56 min	PG-13 - Teens 13 or older	6268	142143	Shaft	433	137	Mystery,Psychological,Drama,Magic,Thriller
9260	31	Kizumonogatari I: Tekketsu-hen	https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen	01-2016	281286	8.43	Light novel	1 hr 4 min	R - 17+ (violence & profanity)	1803	133399	Shaft	357	138	Mystery,Supernatural,Vampire
36538	32	Natsume Yuujinchou Movie: Utsusemi ni Musubu	https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu	09-2018	29761	8.43	Manga	1 hr 44 min	PG-13 - Teens 13 or older	117	7383	Shuka	2624	139	Slice of Life,Demons,Supernatural,Drama,Shoujo
